,date,close,high,low,open,volume
2694,2010-09-20,220.13999938964844,222.8699951171875,219.50999450683594,222.0,784000
2695,2010-09-21,217.02000427246094,221.89999389648438,214.0,221.89999389648438,1168500
2696,2010-09-22,222.10000610351562,223.25,216.42999267578125,216.42999267578125,820400
2697,2010-09-23,222.63999938964844,225.0,220.97999572753906,221.0800018310547,488400
2698,2010-09-24,225.72999572753906,226.05999755859375,224.0,224.19000244140625,458700
2699,2010-09-27,225.74000549316406,226.75,224.0,225.58999633789062,422900
2700,2010-09-28,228.1999969482422,228.75,224.74000549316406,226.30999755859375,524800
2701,2010-09-29,230.55999755859375,231.22999572753906,228.00999450683594,228.14999389648438,734600
2702,2010-09-30,228.91000366210938,231.72999572753906,226.8000030517578,231.5,679900
2703,2010-10-01,228.8300018310547,230.0,227.80999755859375,229.9499969482422,614500
2704,2010-10-04,230.6300048828125,232.1300048828125,228.75999450683594,229.75,615600
2705,2010-10-05,233.3300018310547,233.99000549316406,231.50999450683594,232.24000549316406,755200
2706,2010-10-06,233.0,233.99000549316406,232.10000610351562,233.10000610351562,480800
2707,2010-10-07,233.0,233.99000549316406,232.33999633789062,233.97999572753906,481200
2708,2010-10-08,232.80999755859375,233.77999877929688,231.9199981689453,233.5,626900
2709,2010-10-11,232.8300018310547,234.5,232.07000732421875,234.0,455600
2710,2010-10-12,232.9499969482422,233.91000366210938,231.52999877929688,233.0500030517578,503900
2711,2010-10-13,232.5500030517578,233.6999969482422,231.3800048828125,233.6999969482422,733700
2712,2010-10-14,233.0,233.3699951171875,231.13999938964844,232.6999969482422,623900
2713,2010-10-15,232.9600067138672,233.75,232.0399932861328,233.5,621100
2714,2010-10-18,232.8000030517578,233.10000610351562,231.05999755859375,232.7100067138672,446900
2715,2010-10-19,229.47000122070312,233.0,227.6999969482422,231.39999389648438,719500
2716,2010-10-20,231.89999389648438,233.0,229.83999633789062,229.9199981689453,444200
2717,2010-10-21,231.3699951171875,234.47000122070312,229.99000549316406,232.5800018310547,427500
2718,2010-10-22,234.72000122070312,234.97999572753906,230.72000122070312,231.64999389648438,330600
2719,2010-10-25,235.1199951171875,236.75,234.75999450683594,234.89999389648438,378300
2720,2010-10-26,236.5,237.0,234.47000122070312,234.47000122070312,440500
2721,2010-10-27,235.85000610351562,236.05999755859375,232.94000244140625,234.75999450683594,339000
2722,2010-10-28,236.8000030517578,237.92999267578125,234.8000030517578,236.92999267578125,425200
2723,2010-10-29,237.6300048828125,237.69000244140625,235.35000610351562,235.8800048828125,233700
2724,2010-11-01,235.63999938964844,238.0,234.33999633789062,237.69000244140625,326200
2725,2010-11-02,237.99000549316406,238.86000061035156,236.25,237.0,271200
2726,2010-11-03,238.0,238.6999969482422,236.0,237.83999633789062,533800
2727,2010-11-04,239.24000549316406,239.47999572753906,237.94000244140625,239.14999389648438,618700
